Samples	Depth [m]	Temperature [ºC]	Salinity [PSU]	Density [kg/m3]	Oxygen [ml/l]	Oxygen [%]	Fluorescence [mg/m3]	Orthophosphate [uM]	Silicic-acid [uM]	Nitrite [uM]	Nitrates [uM]	Nitrate [uM]	NP ratio
S29_Z03	50	14.439	34.19	1025.696	4.827	83.434	4.685	1.974	11.449	0.071	22.764	22.693	11.533
S29_Z05	80	11.586	34.08	1026.32	4.262	69.417	1.653	1.715	4.911	0.042	20.694	20.653	12.066
S29_Z07	150	10.473	34.47	1027.145	0.952	15.179	1.308	2.62	19.418	0.035	28.718	28.683	10.96
S29_Z09	500	6.048	34.31	1029.316	3.697	53.323	1.271	2.115	20.033	0.033	34.983	34.95	16.542
S30_Z00	2	16.452	34.6	1025.352	4.987	89.917	5.216	0.809	1.573	0.329	6.14	5.811	7.59
S30_Z01	20	16.335	34.59	1025.446	5.009	90.098	5.012	0.943	1.943	0.346	8.517	8.171	9.035
S30_Z03	50	12.74	34.28	1026.118	3.574	59.704	2.833	1.582	4.585	0.233	16.615	16.382	10.506
S30_Z05	80	11.96	34.39	1026.492	2.289	37.646	1.821	1.681	9.11	0.156	21.123	20.967	12.563
S30_Z07	150	11.3	34.65	1027.134	0.456	7.414	1.29	2.688	23.055	0.019	24.693	24.674	9.186
S30_Z09	500	6.781	34.42	1029.3	2.015	29.586	1.258	2.28	24.695	0.023	38.585	38.562	16.927
S31_Z00	3	18.585	34.79	1024.982	5.212	97.982	6.228	0.482	0.707	0.021	0.035	0.014	0.072
S31_Z01	20	18.596	34.79	1025.053	5.214	98.037	5.983	0.565	0.943	0.314	2.433	2.12	4.309
S31_Z03	50	13.789	34.41	1026.005	4.178	71.374	5.827	1.818	6.63	0.344	19.815	19.471	10.902
S31_Z05	80	12.834	34.66	1026.523	0.709	11.893	1.901	2.706	23.41	1.693	24.943	23.25	9.217
S31_Z07	150	12.314	34.83	1027.075	0.087	1.438	1.437	2.556	33.7	4.019	17.81	13.792	6.969
S31_Z09	500	7.789	34.52	1029.224	0.761	11.443	1.301	2.565	33.05	0.011	40.775	40.764	15.897
S32_Z00	1	20.649	35.0	1024.599	4.947	96.739	2.921	1.042	1.04	0.018	0.053	0.036	0.051
S32_Z01	20	20.548	35.18	1024.843	4.994	97.579	2.998	1.06	2.143	0.556	6.46	5.904	6.096
S32_Z03	50	13.587	34.82	1026.364	0.192	3.277	10.984	2.832	26.99	1.001	13.305	12.304	4.699
S32_Z05	80	13.03	34.9	1026.671	0.096	1.625	1.461	2.596	34.093	7.771	14.41	6.64	5.552
S32_Z07	150	12.734	34.89	1027.04	0.07	1.18	1.406	2.38	31.49	8.055	18.59	10.535	7.81
S32_Z09	500	8.665	34.62	1029.159	0.092	1.404	1.288	2.871	37.5	0.013	38.385	38.372	13.37
S33_Z00	2	20.591	35.09	1024.687	4.694	91.742	3.896	0.849	1.433	0.016	0.05	0.034	0.059
S33_Z01	20	18.401	34.64	1024.992	4.164	77.951	4.693	2.095	10.217	1.11	6.397	5.287	3.054
S33_Z03	50	13.454	34.82	1026.389	0.091	1.545	15.88	2.92	22.66	3.547	13.19	9.644	4.517
S33_Z05	80	13.037	34.86	1026.643	0.067	1.138	1.476	2.643	31.995	6.543	17.415	10.872	6.59
S33_Z07	150	12.473	34.87	1027.074	0.055	0.91	1.436	2.291	32.99	8.96	19.85	10.89	8.666
S33_Z09	500	8.502	34.61	1029.175	0.105	1.604	1.381	2.953	35.6	1.15	36.345	35.195	12.308
S34_Z00	3	18.3	34.96	1025.185	4.612	86.332	12.321	1.597	6.14	0.534	7.82	7.286	4.896
S34_Z01	20	15.248	34.86	1025.905	0.563	9.937	4.777	2.607	14.817	1.895	18.66	16.765	7.159
S34_Z03	50	13.586	34.87	1026.403	0.069	1.182	1.983	2.53	20.87	4.899	10.95	6.051	4.328
S34_Z05	80	13.168	34.89	1026.635	0.057	0.957	1.44	2.512	27.243	5.894	14.597	8.703	5.811
S34_Z07	150	12.868	34.89	1027.012	0.047	0.787	1.408	2.399	30.39	5.695	17.38	11.685	7.244
S34_Z09	450	9.75	34.69	1028.801	0.036	0.562	1.381	2.94	26.405	0.716	32.18	31.465	10.947
